Index:14 Distance:0
Index:39 Distance:0.381983
Index:36 Distance:0.386727
Index:30 Distance:0.525801
Index:32 Distance:0.525801
Index:41 Distance:0.562713
Index:27 Distance:0.611785
Index:29 Distance:0.611785
Index:52 Distance:0.672389
Index:37 Distance:0.731016
Index:51 Distance:0.75062
Index:62 Distance:0.751494
Index:65 Distance:0.751494
Index:1508 Distance:0.756679
Index:1510 Distance:0.756679
Index:1512 Distance:0.756679
Index:1526 Distance:0.757758
Index:12 Distance:0.78645
Index:74 Distance:0.830161
Index:1674 Distance:0.839604
Index:1676 Distance:0.839604
Index:46 Distance:0.893692
Index:47 Distance:0.893692
Index:9 Distance:0.901425
Index:4 Distance:0.949357
Index:1466 Distance:0.953991
Index:1473 Distance:0.953991
Index:1476 Distance:0.953991
Index:1670 Distance:1.00683
Index:7 Distance:1.01014
Index:1682 Distance:1.02327
Index:1683 Distance:1.02327
Index:1685 Distance:1.02327
Index:15 Distance:1.06346
Index:16 Distance:1.06346
Index:129 Distance:1.07714
Index:142 Distance:1.10324
Index:143 Distance:1.10324
Index:1236 Distance:1.11628
Index:183 Distance:1.11845
Index:1522 Distance:1.12549
Index:1523 Distance:1.12549
Index:1636 Distance:1.132
Index:1363 Distance:1.14376
Index:1364 Distance:1.14376
Index:1365 Distance:1.14376
Index:685 Distance:1.14394
Index:194 Distance:1.14883
Index:198 Distance:1.14883
Index:714 Distance:1.15041
